lat,lon,val,year
6,159,0.001,1990
30,99,0.002,1990
45,-109,0.0,1990
42,115,0.007,1990
4,-54,0.0,1990
-16,-67,0.014,1990
21,-103,0.006,1990
-20,-64,0.004,1990
-40,-69,0.001,1990
32,64,0.001,1990
28,67,0.006,1990
8,22,0.0,1990
-15,133,0.0,1990
-16,20,0.0,1990
55,42,0.006,1990
32,-81,0.01,1990
31,36,0.067,1990
9,80,0.016,1990
42,-91,0.006,1990
19,54,0.001,1990
21,111,0.163,1990
-3,-51,0.001,1990
33,119,0.15,1990
65,21,0.002,1990
46,49,0.015,1990
43,77,0.043,1990
45,130,0.018,1990
4,119,0.006,1990
22,59,0.002,1990
9,-82,0.003,1990
46,-60,0.002,1990
-14,15,0.006,1990
-15,-76,0.001,1990
57,15,0.007,1990
52,9,0.056,1990
10,120,0.004,1990
24,87,0.134,1990
0,-51,0.005,1990
-5,123,0.013,1990
-24,-53,0.01,1990
-28,-58,0.015,1990
43,0,0.019,1990
24,70,0.023,1990
-9,33,0.012,1990
20,73,0.037,1990
13,104,0.034,1990
43,41,0.012,1990
23,78,0.095,1990
20,-72,0.001,1990
38,-4,0.006,1990
0,-77,0.016,1990
-9,-35,0.056,1990
25,109,0.034,1990
-13,34,0.013,1990
61,18,0.001,1990
58,40,0.002,1990
34,50,0.027,1990
49,88,0.0,1990
48,-99,0.001,1990
-42,176,0.002,1990
20,86,0.156,1990
-18,30,0.007,1990
53,44,0.006,1990
29,18,0.001,1990
5,16,0.003,1990
49,-74,0.0,1990
48,131,0.006,1990
14,121,0.21,1990
63,19,0.001,1990
40,54,0.001,1990
36,57,0.005,1990
16,52,0.0,1990
50,128,0.01,1990
39,30,0.021,1990
54,12,0.006,1990
16,-61,0.011,1990
27,80,0.196,1990
29,101,0.001,1990
14,78,0.067,1990
7,13,0.003,1990
41,125,0.026,1990
-17,23,0.002,1990
54,27,0.01,1990
30,29,0.001,1990
41,142,0.003,1990
12,124,0.024,1990
41,43,0.014,1990
18,98,0.004,1990
36,117,0.195,1990
17,33,0.003,1990
32,109,0.051,1990
-7,23,0.011,1990
27,-101,0.005,1990
45,-73,0.12,1990
21,-83,0.0,1990
55,-131,0.001,1990
52,105,0.026,1990
-40,-65,0.0,1990
32,36,0.094,1990
31,7,0.001,1990
32,-109,0.001,1990
31,120,0.191,1990
9,124,0.037,1990
46,-2,0.001,1990
-2,-50,0.003,1990
18,-13,0.001,1990
42,28,0.016,1990
4,99,0.008,1990
19,-77,0.002,1990
18,38,0.006,1990
33,4,0.004,1990
-5,-75,0.0,1990
-14,51,0.001,1990
-15,-48,0.002,1990
57,-5,0.0,1990
52,37,0.017,1990
13,38,0.013,1990
-10,-41,0.002,1990
-11,36,0.006,1990
-18,-71,0.003,1990
-20,27,0.002,1990
56,89,0.001,1990
33,-94,0.007,1990
44,15,0.001,1990
43,-4,0.006,1990
20,37,0.0,1990
-4,27,0.006,1990
47,8,0.075,1990
44,-98,0.001,1990
23,114,0.27,1990
38,24,0.051,1990
14,10,0.006,1990
10,-3,0.009,1990
47,89,0.002,1990
-34,152,0.079,1990
38,-121,0.062,1990
14,25,0.001,1990
29,5,0.001,1990
-9,-78,0.016,1990
20,98,0.018,1990
-19,-39,0.003,1990
53,0,0.046,1990
-23,150,0.0,1990
49,1,0.028,1990
48,40,0.046,1990
38,97,0.0,1990
